spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	s	i	s	s	s	s	s	s
canyon_corsair_cutthroat		world	-3839.497314	13	-3763.170654	90	theme_park.dungeon.generic_death			360						
canyon_corsair_cutthroat		world	-3839.497314	13	-3763.170654	90	theme_park.dungeon.generic_death			360						
canyon_corsair_pirate_strong		world	-3844.502441	13	-3753.170898	90	theme_park.dungeon.generic_death			360						
canyon_corsair_pirate_strong		world	-3844.502441	13	-3753.170898	90	theme_park.dungeon.generic_death			360						
canyon_corsair_guard		world	-3833.256592	13.06109333	-3756.398926	90	theme_park.dungeon.generic_death			325						
canyon_corsair_guard		world	-3833.256592	13.06109333	-3756.398926	90	theme_park.dungeon.generic_death			325						
canyon_corsair_guard		world	-3833.256592	13.06109333	-3756.398926	90	theme_park.dungeon.generic_death			325						
elite_canyon_corsair		world	-3842.102295	13	-3741.646729	90	theme_park.dungeon.generic_death			457						
elite_canyon_corsair		world	-3842.102295	13	-3741.646729	90	theme_park.dungeon.generic_death			457						
canyon_corsair_scout		world	-3918.209229	11.87904644	-3806.141846	90	theme_park.dungeon.generic_death			219						
canyon_corsair_scout		world	-3918.209229	11.87904644	-3806.141846	90	theme_park.dungeon.generic_death			219						
canyon_corsair_scout		world	-3918.209229	11.87904644	-3806.141846	90	theme_park.dungeon.generic_death			219						
canyon_corsair_pirate_weak		world	-3904.705566	12.07994461	-3800.043701	90	theme_park.dungeon.generic_death			243						
canyon_corsair_pirate_weak		world	-3904.705566	12.07994461	-3800.043701	90	theme_park.dungeon.generic_death			243						
canyon_corsair_pirate_weak		world	-3904.705566	12.07994461	-3800.043701	90	theme_park.dungeon.generic_death			243						
canyon_corsair_guard		world	-3888.353027	12.1453886	-3825.105225	90	theme_park.dungeon.generic_death			276						
canyon_corsair_guard		world	-3888.353027	12.1453886	-3825.105225	90	theme_park.dungeon.generic_death			276						
canyon_corsair_captain		world	-3886.930176	12.04986954	-3805.56543	90	theme_park.dungeon.generic_death			414						
canyon_corsair_scout		world	-3880.758789	11.97862625	-3970.668213	90	theme_park.dungeon.generic_death			176						
canyon_corsair_scout		world	-3880.758789	11.97862625	-3970.668213	90	theme_park.dungeon.generic_death			176						
canyon_corsair_scout		world	-3811.963623	11.89948177	-3969.646973	90	theme_park.dungeon.generic_death			176						
canyon_corsair_scout		world	-3811.963623	11.89948177	-3969.646973	90	theme_park.dungeon.generic_death			176						
canyon_corsair_pirate_weak		world	-3858.010254	12.07545853	-3815.456543	90	theme_park.dungeon.generic_death			224						
canyon_corsair_pirate_weak		world	-3858.010254	12.07545853	-3815.456543	90	theme_park.dungeon.generic_death			224						
canyon_corsair_pirate_weak		world	-3858.010254	12.07545853	-3815.456543	90	theme_park.dungeon.generic_death			224						
canyon_corsair_cutthroat		world	-3837.828613	12.05630207	-3789.257568	90	theme_park.dungeon.generic_death			213						
canyon_corsair_cutthroat		world	-3837.828613	12.05630207	-3789.257568	90	theme_park.dungeon.generic_death			213						
canyon_corsair_destroyer		world	-3862.744629	11.98467064	-3921.95166	90	theme_park.dungeon.generic_death			208						
