spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	s	i	s	s	s	s	s	s
kobola_guard		world	7358.183594	80.89487457	106.6294327	90	theme_park.dungeon.generic_death			600						
kobola_guard		world	7358.183594	80.89487457	106.6294327	90	theme_park.dungeon.generic_death			600						
at_st		world	-1119.94458	77.81830597	4543.183105	90	theme_park.dungeon.generic_death			602						
stormtrooper		world	-1137.848633	78.00701141	4537.596191	90	theme_park.dungeon.generic_death			223						
stormtrooper		world	-1137.848633	78.00701141	4537.596191	90	theme_park.dungeon.generic_death			223						
rorgungan_commoner		world	2507.473389	81.63926697	7316.540527	90	theme_park.dungeon.generic_death			3600						
rorgungan_commoner		world	2507.473389	81.63926697	7316.540527	90	theme_park.dungeon.generic_death			3600						
rorgungan_commoner		world	2507.473389	81.63926697	7316.540527	90	theme_park.dungeon.generic_death			3600						
rorgungan_commoner		world	2507.473389	81.63926697	7316.540527	90	theme_park.dungeon.generic_death			3600						
rorgungan_commoner		world	2507.473389	81.63926697	7316.540527	90	theme_park.dungeon.generic_death			3600						
rorgungan_warchief		world	3376.055908	90	5860.842773	90	theme_park.dungeon.generic_death			3600						
rorgungan_warrior		world	3382.366455	90	5868.851074	90	theme_park.dungeon.generic_death			3600						
rorgungan_warrior		world	3382.366455	90	5868.851074	90	theme_park.dungeon.generic_death			3600						
rorgungan_warrior		world	3382.366455	90	5868.851074	90	theme_park.dungeon.generic_death			3600						
rorgungan_warrior		world	3382.366455	90	5868.851074	90	theme_park.dungeon.generic_death			3600						
vrobal_bull		world	1926.943359	80.82769775	1763.450195	90	theme_park.dungeon.generic_death			3600						
vrobal_bull		world	1926.943359	80.82769775	1763.450195	90	theme_park.dungeon.generic_death			3600						
vrobal_bull		world	1926.943359	80.82769775	1763.450195	90	theme_park.dungeon.generic_death			3600						
vrobal_bull		world	1926.943359	80.82769775	1763.450195	90	theme_park.dungeon.generic_death			3600						
vrobal_bull		world	1926.943359	80.82769775	1763.450195	90	theme_park.dungeon.generic_death			3600						
rorgungan_boss		world	3591.468018	80.53492737	366.8275146	90	theme_park.dungeon.generic_death			100						
rorgungan_scout		world	3575.872803	81.54036713	371.6214905	90	theme_park.dungeon.generic_death			3600						
rorgungan_scout		world	3575.872803	81.54036713	371.6214905	90	theme_park.dungeon.generic_death			3600						
rorgungan_scout		world	3575.872803	81.54036713	371.6214905	90	theme_park.dungeon.generic_death			3600						
rorgungan_scout		world	3575.872803	81.54036713	371.6214905	90	theme_park.dungeon.generic_death			3600						
screaming_kai_tok		world	3475.43335	80.33605194	-2142.108887	90	theme_park.dungeon.generic_death			3600						
screaming_kai_tok		world	3475.43335	80.33605194	-2142.108887	90	theme_park.dungeon.generic_death			3600						
screaming_kai_tok		world	3475.43335	80.33605194	-2142.108887	90	theme_park.dungeon.generic_death			3600						
screaming_kai_tok		world	3475.43335	80.33605194	-2142.108887	90	theme_park.dungeon.generic_death			3600						
screaming_kai_tok		world	3475.43335	80.33605194	-2142.108887	90	theme_park.dungeon.generic_death			3600						
torton		world	-763.7941284	81.06198883	-4111.538574	90	theme_park.dungeon.generic_death			3600						
torton		world	-763.7941284	81.06198883	-4111.538574	90	theme_park.dungeon.generic_death			3600						
wood_mite_matriarch		world	5937.033691	75.89911652	-2600.607666	90	theme_park.dungeon.generic_death			3600						
wood_mite		world	5923.896484	76.18435669	-2603.733643	90	theme_park.dungeon.generic_death			3600						
wood_mite		world	5923.896484	76.18435669	-2603.733643	90	theme_park.dungeon.generic_death			3600						
wood_mite		world	5923.896484	76.18435669	-2603.733643	90	theme_park.dungeon.generic_death			3600						
